gross,budget,senti_actor,senti_director,country,genres,imdb_score,count_actor,count_director,senti_comment,log_budget
13464388,4000000,0.222262096,0.122507963,UK,Comedy,8,40,500,0.062455276,15.20180492
13350177,5000000,0.280833333,0.110234425,USA,Drama,3.8,20,198.3301927,0.029943061,15.42494847
13269963,5000000,0.170801385,0.080303741,USA,Drama,7.6,497,20,0.187196239,15.42494847
17768000,5000000,0.132119417,0.110234425,USA,Horror,5.9,284.7456014,198.3301927,0.159735761,15.42494847
12947763,5000000,0.132119417,0.048335787,USA,Horror,6.2,284.7456014,380,0.109925359,15.42494847
14100000,5000000,0.154517544,0.110234425,USA,Comedy,7.2,19,198.3301927,0.210735306,15.42494847
12200000,5000000,0.096899488,0.124452983,USA,Action,6.3,79,120,0.148922171,15.42494847
17683670,5000000,0.132119417,0.110234425,USA,Horror,5.2,284.7456014,198.3301927,0.076186283,15.42494847
12055108,8000000,0.132119417,0.110234425,USA,Comedy,6.9,284.7456014,198.3301927,0.190977079,15.8949521
27285953,5000000,0.132119417,0.110234425,USA,Action,6.8,284.7456014,198.3301927,0.124655768,15.42494847
11675178,5000000,0.209908009,0.110234425,USA,Comedy,3.5,20,198.3301927,0.050070254,15.42494847
10572742,8000000,0.132119417,0.216277958,USA,Drama,6.1,284.7456014,20,0.138694687,15.8949521
9658370,5000000,0.130292584,0.110234425,USA,Comedy,4.5,500,198.3301927,0.138694687,15.42494847
9628751,5000000,0.132119417,0.166666667,USA,Action,5.9,284.7456014,20,0.17267197,15.42494847
8786715,5000000,0.07363838,0.107807367,USA,Comedy,6.9,453,120,0.115395948,15.42494847
3432342,6000000,0.132119417,0.110234425,Canada,Comedy,7.7,284.7456014,198.3301927,0.14637244,15.60727003
6755271,5000000,0.132119417,0.110234425,USA,Horror,5.3,284.7456014,198.3301927,0.122644668,15.42494847
6157157,5000000,0.150636153,0.110234425,USA,Comedy,7,136,198.3301927,0.144458411,15.42494847
5480318,5000000,0.129751558,0.021666667,USA,Comedy,6.6,199,20,0.192370511,15.42494847
5308707,5000000,0.132582699,0.13593556,USA,Comedy,6.4,494,500,0.138694687,15.42494847
5009677,5000000,0.132119417,0.141871956,UK,Drama,7.9,284.7456014,20,0.138694687,15.42494847
4074023,5000000,0.132119417,0.110234425,UK,Documentary,6.9,284.7456014,198.3301927,0.138694687,15.42494847
4306697,5000000,0.210310638,0.110234425,Canada,Drama,7.7,39,198.3301927,0.138694687,15.42494847
3950029,4000000,0.132119417,0.110234425,France,Drama,7.2,284.7456014,198.3301927,0.122977382,15.20180492
4040588,5000000,0.10853558,0.110234425,USA,Comedy,6.8,493,198.3301927,0.18705408,15.42494847
3049135,5000000,0.154868989,0.099578232,New Zealand,Biography,7.4,496,380,0.150078481,15.42494847
4700361,5000000,0.097833767,0.110234425,USA,Drama,4.6,336,198.3301927,0.032768659,15.42494847
2711210,5000000,0.089422114,0.207050265,USA,Comedy,6.4,477,20,0.134259819,15.42494847
1980338,5000000,0.14506627,0.146748737,USA,Comedy,7,100,20,0.251203434,15.42494847
1082044,5000000,0.142693455,0.1675,Spain,Drama,7.7,437,20,0.143946775,15.42494847
