,actor,sentiment,count
2695,Charlie Hunnam,0.15157582962435284,237
2696,Drew Waters,0.12482804232804234,20
2697,Debbie Harry,0.09689685910329839,495
2698,Anne Hathaway,0.09718446908998704,497
2699,Ryan Gosling,0.1004387974068557,497
2700,Billy Burke,0.22508333333333336,20
2701,Jeanne Moreau,0.31033333333333335,20
2702,Mira Sorvino,0.09723681137163027,220
2703,Sean Pertwee,0.2834243209014284,258
2704,Asin,0.03497640848005504,498
2705,Kayla Jackson,0.14696043332631872,120
2706,Cicely Tyson,0.06602856171606174,260
2707,Noah Taylor,0.11733057294887654,140
2708,Joseph Gordon-Levitt,0.12443745574725261,218
2709,Clint Eastwood,0.06589611848420364,487
2710,Scarlett Johansson,0.07625689216320523,495
2711,Kate Winslet,0.1548689893967067,496
2712,Paul Sorvino,0.2096597222222222,20
2713,Ruby Dee,0.1965957070707071,100
2714,Sarah Michelle Gellar,0.06784206074722378,115
2715,Anupam Kher,0.20384805093389444,498
2716,Jim Gaffigan,0.14124049587630425,494
2717,Jon Hamm,0.0880173587820909,455
2718,Bob Hoskins,0.12194846462460097,99
2719,Russell Tovey,0.1458515286796537,80
2720,Campbell Scott,0.1160749458874459,20
2721,Samantha Morton,0.1979898538961039,40
2722,Teresa Wright,0.15004419191919188,40
2723,Abhishek Bachchan,0.26435013050895856,500
2724,Lin Shaye,0.06555334595959596,40
2725,Bradley Cooper,0.0367846418151208,499
2726,Bam Margera,0.08255559294424843,119
2727,Billy Burke,0.22508333333333336,20
2728,Lin Shaye,0.06555334595959596,40
2729,John Saxon,0.11667509920634922,100
2730,Busy Philipps,0.15632021373358707,314
2731,Eugenio Derbez,0.23894841269841272,20
2732,Richard Burton,0.08641310641664408,318
2733,Johnny Depp,0.07872807627771616,462
2734,Charlize Theron,0.08670740993539289,484
2735,James Mason,0.31215579221686923,458
2736,Anthony Hopkins,0.12497510754045438,483
2737,Matthew McConaughey,0.17080138499222025,497
2738,Olivia Wilde,0.1191758646213501,497
2739,Julie Walters,0.1873837146816916,79
2740,Steve Carell,0.14436739309516367,485
2741,Frank Welker,0.20422321428571427,20
2742,John Beasley,0.08708022186147187,40
2743,Faye Dunaway,0.05462029195011339,200
2744,Zooey Deschanel,0.1590231217793607,494
2745,William Hurt,0.07154864425697763,117
2746,Bernie Mac,0.09456082325936738,498
2747,Mekhi Phifer,0.11323393711551606,38
2748,Boris Kodjoe,0.12020634920634923,40
2749,Kristen Stewart,0.14629147567606665,492
2750,Gene Tierney,0.14959746272246274,60
2751,Sylvester Stallone,0.163936616432329,497
2752,Nia Vardalos,0.11987936173062753,79
2753,Peter Serafinowicz,0.22226209641053388,40
2754,Jessica Lowndes,0.2808333333333333,20
2755,Matthew McConaughey,0.17080138499222025,497
2756,Steve Guttenberg,0.1545175438596491,19
2757,David Carradine,0.09689948764315853,79
2758,Fred Willard,0.20990800865800865,20
2759,Gary Cooper,0.14691719312954632,298
2760,Donald Faison,0.13029258366308177,500
2761,Macaulay Culkin,0.07363838018651171,453
2762,Robert Shaw,0.0847254696587083,99
2763,Harrison Ford,0.09716929078672332,492
2764,Fran Drescher,0.15063615255251284,136
2765,Linda Cardellini,0.13820353682720443,59
2766,Natasha Lyonne,0.12975155811525152,199
2767,Claudia Cardinale,-0.00028376931913116546,19
2768,Jon Favreau,0.13258269907782178,494
2769,Bruce Greenwood,0.2103106384356384,39
2770,Alan Rickman,0.10853558044202062,493
2771,Kate Winslet,0.1548689893967067,496
2772,Hayden Christensen,0.09783376660060068,336
2773,Will Ferrell,0.08942211397129829,477
2774,Kim Dickens,0.14506626984126986,100
2775,Christian Bale,0.14269345514517914,437
2776,Dana Delany,0.21092765664847035,318
2777,Jeremy Renner,0.16831229104286916,500
2778,Macaulay Culkin,0.07363838018651171,453
2779,Alia Shawkat,0.1091486780002405,60
2780,Liza Minnelli,0.12375001172162868,218
2781,Andrew Wilson,0.05001081990925742,260
2782,Viggo Mortensen,0.16836111702354492,138
2783,Akshaye Khanna,0.20295980226370847,160
2784,Jeffrey Frost,0.10119886363636363,20
2785,Raymond Burr,0.07085714285714285,20
2786,Adam Scott,0.001,500
2787,Judith Anderson,0.14432093253968256,40
2788,Ocean James,0.10661567651898314,499
2789,Mike Figueroa,0.1721818579073043,60
2790,Glenn Campbell,0.2141874605429293,40
2791,Henry Ian Cusick,0.19538825757575762,40
2792,Alyson Hannigan,0.10119841269841272,40
2793,Heather Locklear,0.3356269186542625,78
2794,Billy Crudup,0.17832855133709163,138
2795,Chazz Palminteri,0.0054444444444444445,60
2796,Gary Cole,0.11223408539126618,60
2797,Teri Polo,0.09634523809523807,20
2798,Nicolas Cage,0.09348769631463157,498
2799,David Huddleston,0.14957934609250398,19
2800,Michael Rapaport,0.05369864140942575,459
2801,David Raizor,0.10364044237012987,100
2802,Johnny Depp,0.07872807627771616,462
2803,Robert Duvall,0.1383028926850541,78
2804,Jay Hernandez,0.0762016687016687,39
2805,Steve Coogan,0.11635764640452141,120
2806,Rupert Grint,0.12391917541427347,153
2807,Donald Faison,0.13029258366308177,500
2808,Bill Johnson,0.19872680560180564,117
2809,James Coburn,0.1606731802148469,40
2810,Ryan Gosling,0.1004387974068557,497
2811,Bhama,0.0025,40
2812,Gerard Butler,0.13594980420720884,498
2813,Keith Carradine,0.29101767676767676,20
2814,Eddie Redmayne,0.13611059888664478,488
2815,Steve Guttenberg,0.1545175438596491,19
2816,Brooke Shields,0.13860028271380329,259
2817,Kristin Scott Thomas,0.10623020498020498,78
2818,Jennifer Jason Leigh,0.11641630752679863,56
2819,Philip Seymour Hoffman,0.17078487649916219,117
2820,Christopher Meloni,0.23735795454545455,20
2821,Ellen Burstyn,0.3591314935064934,20
2822,Dana Andrews,0.26479712301587305,20
2823,Jim Belushi,0.1450808520329881,79
2824,Alex Kendrick,0.1198133793290043,80
2825,Jake Gyllenhaal,0.0953481413637076,484
2826,Jaime Camil,0.32948673115079374,40
2827,Jason Statham,0.11573018974203189,475
2828,Liam Neeson,0.057845844721474755,496
2829,Jimmy Shergill,0.43747642299107153,40
2830,Scatman Crothers,0.0,20
2831,Katherine McNamara,0.13128657172135433,138
2832,Michael Jai White,0.08338125422090067,99
2833,Hayley Atwell,0.1461769767479995,220
2834,Ray Winstone,0.08719522375772376,78
2835,Vidya Balan,0.2323428351927893,340
2836,Hugh Jackman,0.2908443989992097,494
2837,Lucas Grabeel,0.2793333333333333,20
2838,Jason Priestley,0.16619449705387204,36
2839,Jim Broadbent,0.08749305555555556,40
2840,Scarlett Johansson,0.07625689216320523,495
2841,Woody Allen,0.06502630638594867,497
2842,Gloria Grahame,0.10983035714285713,20
2843,Christian Bale,0.14269345514517914,437
2844,Heath Ledger,0.10860359352392489,496
2845,Nicolas Cage,0.09348769631463157,498
2846,Linnea Quigley,0.13273003472222222,20
2847,Austin Pendleton,0.14421717171717172,20
2848,Ryan Guzman,0.015310554174117714,20
2849,Josh Hutcherson,0.062408232853148116,177
2850,James Coburn,0.1606731802148469,40
2851,Marlee Matlin,0.25463302928852133,159
2852,Muse Watson,0.14974107142857143,60
2853,Scarlett Johansson,0.07625689216320523,495
2854,Angell Conwell,0.34803645833333335,20
2855,Mo'Nique,0.09508527646254208,500
2856,Montgomery Clift,0.08913676601176602,40
2857,Robin Williams,0.1171931561372351,494
2858,Frank Grillo,0.02938924963924964,20
2859,Ian Somerhalder,0.3134492427060786,500
2860,Salma Hayek,0.22633571938226596,498
2861,Catherine O'Hara,0.20224685661393088,414
2862,Anna Gunn,0.12511938391175678,59
2863,Michael Angarano,0.6287747495559995,39
2864,Ray Winstone,0.08719522375772376,78
2865,Chazz Palminteri,0.0054444444444444445,60
2866,Kelly Macdonald,0.1400691724724928,40
2867,Kylie Minogue,0.17600515867312044,500
2868,Nicolas Cage,0.09348769631463157,498
2869,Peter McNamara,0.10824747474747473,20
2870,Viggo Mortensen,0.16836111702354492,138
2871,Lauren Ambrose,0.2283124885476076,60
2872,Craig Ferguson,0.0009116161616161614,220
2873,Anna Friel,0.26325045645686407,119
2874,Rachel Griffiths,0.26313549933862435,40
2875,Robin Wright,0.10533184408184408,39
2876,Salma Hayek,0.22633571938226596,498
2877,Keanu Reeves,0.10476399390001678,494
2878,Wagner Moura,0.10166666666666666,20
2879,George Kennedy,0.16769462481962483,20
2880,Ed Speleers,0.1890550069143819,40
2881,Saad Siddiqui,0.07929981203007518,19
2882,Jean Harlow,0.1561476968247802,78
2883,Debra Messing,0.04862340521371341,492
2884,Lily Rabe,0.011782805735930733,80
2885,Eric Mabius,0.35163027763372806,240
2886,Morgan Freeman,0.11061689338669153,483
2887,Robert Shaw,0.0847254696587083,99
2888,Robert Duvall,0.1383028926850541,78
